id,avelio.csv,miradas.csv,diferencia
0,3601,3420,-181
1,630,450,-180
2,450,180,-270
3,360,450,90
4,360,270,-90
5,180,180,0
6,270,270,0
7,450,270,-180
8,540,540,0
9,360,540,180
10,270,0,-270
11,450,270,-180
12,0,0,0
13,270,360,90
14,90,90,0
15,540,630,90
16,450,360,-90
17,360,360,0
18,360,360,0
19,720,360,-360
20,0,0,0
21,720,270,-450
22,270,0,-270
23,270,270,0
24,270,90,-180
25,270,360,90
26,90,180,90
27,540,540,0
28,90,540,450
29,720,540,-180
30,270,270,0
31,630,720,90
32,360,360,0
33,360,270,-90
34,360,360,0
35,180,180,0
36,270,180,-90
